OBJECTID,Comuna,codigo,Shape,Shape_Area,Shape_Length,Año,índice (Valor)
21,Santa Elena,90,"(4721626.544324636, 2247611.5894908938)",7411415289082207,6652705396435653,2021,1381
8,Villa Hermosa,8,"(4718584.283001129, 2249006.5964515195)",5716967861815598,16392858844819500,2021,1629
19,Altavista,70,"(4708517.330020405, 2246822.6598185324)",2872578328352506,3501258288575261,2020,""
4,Aranjuez,4,"(4716680.291627194, 2252195.0294205956)",4883314087520373,9642676543479752,2020,""
16,Belén,16,"(4712464.646424875, 2246614.0744316597)",8856232001394011,25695016634207840,2020,""
9,Buenos Aires,9,"(4717615.2868070705, 2247244.7482453715)",6052668286001971,1836490299510415,2020,""
5,Castilla,5,"(4715903.412076725, 2253981.9996353034)",6063915514971976,1609803210800692,2020,""
6,Doce de Octubre,6,"(4714743.451115304, 2254761.3938639592)",38498120727601980,10709846407300310,2020,""
14,El Poblado,14,"(4716105.141389329, 2243895.5048197634)",1441432282772217,19965687059117800,2020,""
15,Guayabal,15,"(4713893.91312301, 2245262.804141909)",7288420726785111,13279243204644290,2020,""
12,La América,12,"(4711800.387879477, 2249823.2178688487)",39733069584038740,15425495027124890,2020,""
10,La Candelaria,10,"(4715944.532195215, 2249048.1243153503)",7360811029417884,13632701394923220,2020,""
11,Laureles Estadio,11,"(4713343.505881916, 2249368.142262306)",7402669301326557,16365175496146,2020,""
3,Manrique,3,"(4718479.607630689, 2251852.4937053234)",5096182230156728,120775591324662,2020,""
1,Popular,1,"(4718611.922461629, 2254112.982707406)",3097940950849382,9604448561523164,2020,""
7,Robledo,7,"(4713275.71134015, 2252410.4420975056)",9462007704047674,23265233431348750,2020,""
20,San Antonio de Prado,80,"(4704270.352085299, 2245613.063627898)",6056777168704203,4047228393637327,2020,""
18,San Cristóbal,60,"(4708034.050193128, 2253812.2220230075)",54112792242404780,5116261742571545,2020,""
13,San Javier,13,"(4710446.833375132, 2250061.46529047)",4849278874958561,2638422054676626,2020,""
17,San Sebastián de Palmitas,50,"(4702567.6733262185, 2257955.7318096347)",5779920250778169,3839921195236707,2020,""
2,Santa Cruz,2,"(4717471.901360827, 2254648.3111255593)",2195662601386407,8597294373605435,2020,""
21,Santa Elena,90,"(4721626.544324636, 2247611.5894908938)",7411415289082207,6652705396435653,2020,""
8,Villa Hermosa,8,"(4718584.283001129, 2249006.5964515195)",5716967861815598,16392858844819500,2020,""
19,Altavista,70,"(4708517.330020405, 2246822.6598185324)",2872578328352506,3501258288575261,2019,229
4,Aranjuez,4,"(4716680.291627194, 2252195.0294205956)",4883314087520373,9642676543479752,2019,1394
16,Belén,16,"(4712464.646424875, 2246614.0744316597)",8856232001394011,25695016634207840,2019,665
9,Buenos Aires,9,"(4717615.2868070705, 2247244.7482453715)",6052668286001971,1836490299510415,2019,94
5,Castilla,5,"(4715903.412076725, 2253981.9996353034)",6063915514971976,1609803210800692,2019,754
6,Doce de Octubre,6,"(4714743.451115304, 2254761.3938639592)",38498120727601980,10709846407300310,2019,1328
14,El Poblado,14,"(4716105.141389329, 2243895.5048197634)",1441432282772217,19965687059117800,2019,37
15,Guayabal,15,"(4713893.91312301, 2245262.804141909)",7288420726785111,13279243204644290,2019,799
12,La América,12,"(4711800.387879477, 2249823.2178688487)",39733069584038740,15425495027124890,2019,286
10,La Candelaria,10,"(4715944.532195215, 2249048.1243153503)",7360811029417884,13632701394923220,2019,983
11,Laureles Estadio,11,"(4713343.505881916, 2249368.142262306)",7402669301326557,16365175496146,2019,16
3,Manrique,3,"(4718479.607630689, 2251852.4937053234)",5096182230156728,120775591324662,2019,1784
1,Popular,1,"(4718611.922461629, 2254112.982707406)",3097940950849382,9604448561523164,2019,2241
7,Robledo,7,"(4713275.71134015, 2252410.4420975056)",9462007704047674,23265233431348750,2019,893
20,San Antonio de Prado,80,"(4704270.352085299, 2245613.063627898)",6056777168704203,4047228393637327,2019,544
18,San Cristóbal,60,"(4708034.050193128, 2253812.2220230075)",54112792242404780,5116261742571545,2019,1631
13,San Javier,13,"(4710446.833375132, 2250061.46529047)",4849278874958561,2638422054676626,2019,1241
17,San Sebastián de Palmitas,50,"(4702567.6733262185, 2257955.7318096347)",5779920250778169,3839921195236707,2019,205
2,Santa Cruz,2,"(4717471.901360827, 2254648.3111255593)",2195662601386407,8597294373605435,2019,1666
21,Santa Elena,90,"(4721626.544324636, 2247611.5894908938)",7411415289082207,6652705396435653,2019,1671
8,Villa Hermosa,8,"(4718584.283001129, 2249006.5964515195)",5716967861815598,16392858844819500,2019,1748
19,Altavista,70,"(4708517.330020405, 2246822.6598185324)",2872578328352506,3501258288575261,2018,2066
4,Aranjuez,4,"(4716680.291627194, 2252195.0294205956)",4883314087520373,9642676543479752,2018,1352
16,Belén,16,"(4712464.646424875, 2246614.0744316597)",8856232001394011,25695016634207840,2018,434
9,Buenos Aires,9,"(4717615.2868070705, 2247244.7482453715)",6052668286001971,1836490299510415,2018,437
5,Castilla,5,"(4715903.412076725, 2253981.9996353034)",6063915514971976,1609803210800692,2018,1095
6,Doce de Octubre,6,"(4714743.451115304, 2254761.3938639592)",38498120727601980,10709846407300310,2018,166
14,El Poblado,14,"(4716105.141389329, 2243895.5048197634)",1441432282772217,19965687059117800,2018,159
15,Guayabal,15,"(4713893.91312301, 2245262.804141909)",7288420726785111,13279243204644290,2018,502
12,La América,12,"(4711800.387879477, 2249823.2178688487)",39733069584038740,15425495027124890,2018,456
10,La Candelaria,10,"(4715944.532195215, 2249048.1243153503)",7360811029417884,13632701394923220,2018,84
11,Laureles Estadio,11,"(4713343.505881916, 2249368.142262306)",7402669301326557,16365175496146,2018,231
3,Manrique,3,"(4718479.607630689, 2251852.4937053234)",5096182230156728,120775591324662,2018,2307
1,Popular,1,"(4718611.922461629, 2254112.982707406)",3097940950849382,9604448561523164,2018,2477
7,Robledo,7,"(4713275.71134015, 2252410.4420975056)",9462007704047674,23265233431348750,2018,1324
20,San Antonio de Prado,80,"(4704270.352085299, 2245613.063627898)",6056777168704203,4047228393637327,2018,573
18,San Cristóbal,60,"(4708034.050193128, 2253812.2220230075)",54112792242404780,5116261742571545,2018,1878
13,San Javier,13,"(4710446.833375132, 2250061.46529047)",4849278874958561,2638422054676626,2018,1281
17,San Sebastián de Palmitas,50,"(4702567.6733262185, 2257955.7318096347)",5779920250778169,3839921195236707,2018,1776
2,Santa Cruz,2,"(4717471.901360827, 2254648.3111255593)",2195662601386407,8597294373605435,2018,2244
21,Santa Elena,90,"(4721626.544324636, 2247611.5894908938)",7411415289082207,6652705396435653,2018,2278
8,Villa Hermosa,8,"(4718584.283001129, 2249006.5964515195)",5716967861815598,16392858844819500,2018,1571
19,Altavista,70,"(4708517.330020405, 2246822.6598185324)",2872578328352506,3501258288575261,2017,1564
4,Aranjuez,4,"(4716680.291627194, 2252195.0294205956)",4883314087520373,9642676543479752,2017,1965
16,Belén,16,"(4712464.646424875, 2246614.0744316597)",8856232001394011,25695016634207840,2017,809
9,Buenos Aires,9,"(4717615.2868070705, 2247244.7482453715)",6052668286001971,1836490299510415,2017,1192
5,Castilla,5,"(4715903.412076725, 2253981.9996353034)",6063915514971976,1609803210800692,2017,1132
6,Doce de Octubre,6,"(4714743.451115304, 2254761.3938639592)",38498120727601980,10709846407300310,2017,144
14,El Poblado,14,"(4716105.141389329, 2243895.5048197634)",1441432282772217,19965687059117800,2017,82
15,Guayabal,15,"(4713893.91312301, 2245262.804141909)",7288420726785111,13279243204644290,2017,1123
12,La América,12,"(4711800.387879477, 2249823.2178688487)",39733069584038740,15425495027124890,2017,468
10,La Candelaria,10,"(4715944.532195215, 2249048.1243153503)",7360811029417884,13632701394923220,2017,1151
11,Laureles Estadio,11,"(4713343.505881916, 2249368.142262306)",7402669301326557,16365175496146,2017,155
3,Manrique,3,"(4718479.607630689, 2251852.4937053234)",5096182230156728,120775591324662,2017,2463
1,Popular,1,"(4718611.922461629, 2254112.982707406)",3097940950849382,9604448561523164,2017,2774
7,Robledo,7,"(4713275.71134015, 2252410.4420975056)",9462007704047674,23265233431348750,2017,1458
20,San Antonio de Prado,80,"(4704270.352085299, 2245613.063627898)",6056777168704203,4047228393637327,2017,1455
