OBJECTID,Comuna,Shape,Shape_Area,Shape_Length,Año,Población Proyectada
5,Castilla,"(4715903.412084993, 2253981.999643141)",60639156247931500,16098031666492970,2023,127289
5,Castilla,"(4715903.412084993, 2253981.999643141)",60639156247931500,16098031666492970,2024,127722
5,Castilla,"(4715903.412084993, 2253981.999643141)",60639156247931500,16098031666492970,2025,128067
5,Castilla,"(4715903.412084993, 2253981.999643141)",60639156247931500,16098031666492970,2026,128261
5,Castilla,"(4715903.412084993, 2253981.999643141)",60639156247931500,16098031666492970,2027,128292
5,Castilla,"(4715903.412084993, 2253981.999643141)",60639156247931500,16098031666492970,2028,128147
5,Castilla,"(4715903.412084993, 2253981.999643141)",60639156247931500,16098031666492970,2029,127765
5,Castilla,"(4715903.412084993, 2253981.999643141)",60639156247931500,16098031666492970,2030,127202
6,Doce de Octubre,"(4714743.451129568, 2254761.3938770983)",3849811996337703,10709846514087650,2018,177190
6,Doce de Octubre,"(4714743.451129568, 2254761.3938770983)",3849811996337703,10709846514087650,2019,179493
6,Doce de Octubre,"(4714743.451129568, 2254761.3938770983)",3849811996337703,10709846514087650,2020,181235
6,Doce de Octubre,"(4714743.451129568, 2254761.3938770983)",3849811996337703,10709846514087650,2021,182165
6,Doce de Octubre,"(4714743.451129568, 2254761.3938770983)",3849811996337703,10709846514087650,2022,183012
6,Doce de Octubre,"(4714743.451129568, 2254761.3938770983)",3849811996337703,10709846514087650,2023,183889
6,Doce de Octubre,"(4714743.451129568, 2254761.3938770983)",3849811996337703,10709846514087650,2024,185191
6,Doce de Octubre,"(4714743.451129568, 2254761.3938770983)",3849811996337703,10709846514087650,2025,186227
6,Doce de Octubre,"(4714743.451129568, 2254761.3938770983)",3849811996337703,10709846514087650,2026,187015
6,Doce de Octubre,"(4714743.451129568, 2254761.3938770983)",3849811996337703,10709846514087650,2027,187521
6,Doce de Octubre,"(4714743.451129568, 2254761.3938770983)",3849811996337703,10709846514087650,2028,187763
6,Doce de Octubre,"(4714743.451129568, 2254761.3938770983)",3849811996337703,10709846514087650,2029,187738
6,Doce de Octubre,"(4714743.451129568, 2254761.3938770983)",3849811996337703,10709846514087650,2030,187428
7,Robledo,"(4713275.711336649, 2252410.442102353)",9462007787774288,23265232357307660,2018,189238
7,Robledo,"(4713275.711336649, 2252410.442102353)",9462007787774288,23265232357307660,2019,194042
7,Robledo,"(4713275.711336649, 2252410.442102353)",9462007787774288,23265232357307660,2020,198274
7,Robledo,"(4713275.711336649, 2252410.442102353)",9462007787774288,23265232357307660,2021,201656
7,Robledo,"(4713275.711336649, 2252410.442102353)",9462007787774288,23265232357307660,2022,204954
7,Robledo,"(4713275.711336649, 2252410.442102353)",9462007787774288,23265232357307660,2023,208305
7,Robledo,"(4713275.711336649, 2252410.442102353)",9462007787774288,23265232357307660,2024,212453
7,Robledo,"(4713275.711336649, 2252410.442102353)",9462007787774288,23265232357307660,2025,216194
7,Robledo,"(4713275.711336649, 2252410.442102353)",9462007787774288,23265232357307660,2026,219669
7,Robledo,"(4713275.711336649, 2252410.442102353)",9462007787774288,23265232357307660,2027,222840
7,Robledo,"(4713275.711336649, 2252410.442102353)",9462007787774288,23265232357307660,2028,225717
7,Robledo,"(4713275.711336649, 2252410.442102353)",9462007787774288,23265232357307660,2029,228344
7,Robledo,"(4713275.711336649, 2252410.442102353)",9462007787774288,23265232357307660,2030,230614
8,Villa Hermosa,"(4718584.283007639, 2249006.5964567186)",5716967879701792,16392858636688890,2018,153216
8,Villa Hermosa,"(4718584.283007639, 2249006.5964567186)",5716967879701792,16392858636688890,2019,157668
8,Villa Hermosa,"(4718584.283007639, 2249006.5964567186)",5716967879701792,16392858636688890,2020,161728
8,Villa Hermosa,"(4718584.283007639, 2249006.5964567186)",5716967879701792,16392858636688890,2021,165061
8,Villa Hermosa,"(4718584.283007639, 2249006.5964567186)",5716967879701792,16392858636688890,2022,168399
8,Villa Hermosa,"(4718584.283007639, 2249006.5964567186)",5716967879701792,16392858636688890,2023,171776
8,Villa Hermosa,"(4718584.283007639, 2249006.5964567186)",5716967879701792,16392858636688890,2024,175756
8,Villa Hermosa,"(4718584.283007639, 2249006.5964567186)",5716967879701792,16392858636688890,2025,179508
8,Villa Hermosa,"(4718584.283007639, 2249006.5964567186)",5716967879701792,16392858636688890,2026,183078
8,Villa Hermosa,"(4718584.283007639, 2249006.5964567186)",5716967879701792,16392858636688890,2027,186425
8,Villa Hermosa,"(4718584.283007639, 2249006.5964567186)",5716967879701792,16392858636688890,2028,189545
8,Villa Hermosa,"(4718584.283007639, 2249006.5964567186)",5716967879701792,16392858636688890,2029,192463
8,Villa Hermosa,"(4718584.283007639, 2249006.5964567186)",5716967879701792,16392858636688890,2030,195149
9,Buenos Aires,"(4717615.286810038, 2247244.748238594)",6052668249575188,1836490123390961,2018,155391
9,Buenos Aires,"(4717615.286810038, 2247244.748238594)",6052668249575188,1836490123390961,2019,160045
9,Buenos Aires,"(4717615.286810038, 2247244.748238594)",6052668249575188,1836490123390961,2020,164279
9,Buenos Aires,"(4717615.286810038, 2247244.748238594)",6052668249575188,1836490123390961,2021,167860
9,Buenos Aires,"(4717615.286810038, 2247244.748238594)",6052668249575188,1836490123390961,2022,171416
9,Buenos Aires,"(4717615.286810038, 2247244.748238594)",6052668249575188,1836490123390961,2023,175014
9,Buenos Aires,"(4717615.286810038, 2247244.748238594)",6052668249575188,1836490123390961,2024,179159
9,Buenos Aires,"(4717615.286810038, 2247244.748238594)",6052668249575188,1836490123390961,2025,183086
9,Buenos Aires,"(4717615.286810038, 2247244.748238594)",6052668249575188,1836490123390961,2026,186832
9,Buenos Aires,"(4717615.286810038, 2247244.748238594)",6052668249575188,1836490123390961,2027,190341
9,Buenos Aires,"(4717615.286810038, 2247244.748238594)",6052668249575188,1836490123390961,2028,193632
9,Buenos Aires,"(4717615.286810038, 2247244.748238594)",6052668249575188,1836490123390961,2029,196755
9,Buenos Aires,"(4717615.286810038, 2247244.748238594)",6052668249575188,1836490123390961,2030,199606
10,La Candelaria,"(4715944.53219838, 2249048.1243155734)",7360811122944673,13632701741921630,2018,75913
10,La Candelaria,"(4715944.53219838, 2249048.1243155734)",7360811122944673,13632701741921630,2019,77053
10,La Candelaria,"(4715944.53219838, 2249048.1243155734)",7360811122944673,13632701741921630,2020,77926
10,La Candelaria,"(4715944.53219838, 2249048.1243155734)",7360811122944673,13632701741921630,2021,78478
10,La Candelaria,"(4715944.53219838, 2249048.1243155734)",7360811122944673,13632701741921630,2022,78937
10,La Candelaria,"(4715944.53219838, 2249048.1243155734)",7360811122944673,13632701741921630,2023,79404
10,La Candelaria,"(4715944.53219838, 2249048.1243155734)",7360811122944673,13632701741921630,2024,79892
10,La Candelaria,"(4715944.53219838, 2249048.1243155734)",7360811122944673,13632701741921630,2025,80444
10,La Candelaria,"(4715944.53219838, 2249048.1243155734)",7360811122944673,13632701741921630,2026,80892
10,La Candelaria,"(4715944.53219838, 2249048.1243155734)",7360811122944673,13632701741921630,2027,81199
10,La Candelaria,"(4715944.53219838, 2249048.1243155734)",7360811122944673,13632701741921630,2028,81409
10,La Candelaria,"(4715944.53219838, 2249048.1243155734)",7360811122944673,13632701741921630,2029,81582
10,La Candelaria,"(4715944.53219838, 2249048.1243155734)",7360811122944673,13632701741921630,2030,81671
11,Laureles Estadio,"(4713343.505862651, 2249368.1422557477)",7402669306983,16365175401920810,2018,99904
