OBJECTID,Comuna,Shape,codigo,Shape_Area,Shape_Length,Año,Valor
7,Robledo,"(4713275.71134015, 2252410.4420975056)",7,9462007704047674,23265233431348750,2021,7
8,Villa Hermosa,"(4718584.283001129, 2249006.5964515195)",8,5716967861815598,16392858844819500,2014,63
8,Villa Hermosa,"(4718584.283001129, 2249006.5964515195)",8,5716967861815598,16392858844819500,2015,69
8,Villa Hermosa,"(4718584.283001129, 2249006.5964515195)",8,5716967861815598,16392858844819500,2016,62
8,Villa Hermosa,"(4718584.283001129, 2249006.5964515195)",8,5716967861815598,16392858844819500,2017,64
8,Villa Hermosa,"(4718584.283001129, 2249006.5964515195)",8,5716967861815598,16392858844819500,2018,62
8,Villa Hermosa,"(4718584.283001129, 2249006.5964515195)",8,5716967861815598,16392858844819500,2019,62
8,Villa Hermosa,"(4718584.283001129, 2249006.5964515195)",8,5716967861815598,16392858844819500,2020,59
8,Villa Hermosa,"(4718584.283001129, 2249006.5964515195)",8,5716967861815598,16392858844819500,2021,65
9,Buenos Aires,"(4717615.2868070705, 2247244.7482453715)",9,6052668286001971,1836490299510415,2014,68
9,Buenos Aires,"(4717615.2868070705, 2247244.7482453715)",9,6052668286001971,1836490299510415,2015,74
9,Buenos Aires,"(4717615.2868070705, 2247244.7482453715)",9,6052668286001971,1836490299510415,2016,69
9,Buenos Aires,"(4717615.2868070705, 2247244.7482453715)",9,6052668286001971,1836490299510415,2017,68
9,Buenos Aires,"(4717615.2868070705, 2247244.7482453715)",9,6052668286001971,1836490299510415,2018,68
9,Buenos Aires,"(4717615.2868070705, 2247244.7482453715)",9,6052668286001971,1836490299510415,2019,67
9,Buenos Aires,"(4717615.2868070705, 2247244.7482453715)",9,6052668286001971,1836490299510415,2020,6
9,Buenos Aires,"(4717615.2868070705, 2247244.7482453715)",9,6052668286001971,1836490299510415,2021,7
10,La Candelaria,"(4715944.532195215, 2249048.1243153503)",10,7360811029417884,13632701394923220,2014,75
10,La Candelaria,"(4715944.532195215, 2249048.1243153503)",10,7360811029417884,13632701394923220,2015,76
10,La Candelaria,"(4715944.532195215, 2249048.1243153503)",10,7360811029417884,13632701394923220,2016,74
